Request ID,Unnamed: 0,Branch or Department,Created Date,Resolved Date,Last Update Time,DueBy Date,Completed Date,Requester,Technician,Priority,Status
9067,9561,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",a6bc80ac1ac7d4d35f422805fb6d4fe570b61a122aa14d1ea15f440e790f2dfb,4b1a60bf862d9b7ab7458fe157ed592a5239a0bed7e26ce8a9426a5314948add,-,Closed
9068,9560,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Apr 1, 2016 12:32 PM","Apr 1, 2016 12:32 PM",-,"Apr 1, 2016 12:32 PM",f5be5d5708511d3cb69d194b119568e732919fb566a028edba6e71acde0ea687,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9069,9559,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",570af61f3635984524f45778bed222c6906acbde7c67854b408e780935c448d6,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,-,Closed
9070,9558,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",c3f7bfb1d4f20279764f4888dfb9f117219ac342680c6cb843bd32058bb5c8dc,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9071,9557,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Mar 22, 2016 11:27 AM","Mar 22, 2016 11:27 AM",-,"Mar 22, 2016 11:27 AM",c3f7bfb1d4f20279764f4888dfb9f117219ac342680c6cb843bd32058bb5c8dc,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9072,9556,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","May 4, 2016 12:12 PM","May 4, 2016 12:12 PM",-,"May 4, 2016 12:12 PM",e71f34b237f81186d137e349cdca585442913e145815599a0235effc84127573,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9073,9555,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","May 23, 2016 09:33 AM","May 23, 2016 09:33 AM",-,"May 23, 2016 09:33 AM",0455b5d7eea7e7e6d5bfdc99f53e5338a42524180524893fb3984cfc51bb21cb,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9074,9554,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Jun 9, 2016 01:45 PM",-,-,"Jun 9, 2016 01:45 PM",5659fc6b5d37769546a2f6e521b9cb029caf751eb1381b1fe87033ea6dafe7a2,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9075,9553,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",dd5f1f1b89556b824693487677e3974f0710b04f6669804bad73a1ac8017d2b3,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9076,9552,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Mar 15, 2016 11:14 AM",-,-,"Mar 15, 2016 11:14 AM",4314f9f1e551faf99f3109886968891b83ad9a7121ac65817debfe4d05c84c4f,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9077,9551,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Jun 17, 2016 12:00 PM","Jun 17, 2016 12:00 PM",-,"Jun 17, 2016 12:00 PM",6d339c5f4dbdb53c796ae97a7e04f11e4065ad86207f51dc2b6b3c208ed9bf6a,6a61d283bedbc2ab1d446dca7ecfda51ba5650c69988bdedc064f1352bcfce64,-,Closed
9078,9550,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",768a685c26ea8e8fc80c2d0654ae0170f36d5f8cb4b984d43b56ae2afc197476,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9079,9549,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",0455b5d7eea7e7e6d5bfdc99f53e5338a42524180524893fb3984cfc51bb21cb,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9080,9548,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",77aabec96a7b691f52096332f230c39a8f5bc01e9a970015ed08aaeea773f78d,4b1a60bf862d9b7ab7458fe157ed592a5239a0bed7e26ce8a9426a5314948add,-,Closed
9081,9547,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Mar 10, 2016 04:14 PM","Mar 10, 2016 04:14 PM",-,"Mar 10, 2016 04:14 PM",c3f7bfb1d4f20279764f4888dfb9f117219ac342680c6cb843bd32058bb5c8dc,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
9082,9546,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,"Feb 21, 2016 06:28 PM","Feb 21, 2016 06:28 PM",-,-,"Feb 21, 2016 06:28 PM",d863bf417f8003f13bc71fbecae8a6a84037366a4cfaf4c3c503859db8a3a364,706cb695a77f522f631bff8b6ecda9d1f834392cb9383e0732c40a09f7c43a1d,-,Closed
