,Branch or Department
WEST TOLEDO,516
SANGER,407
KING ROAD,399
REYNOLDS CORNERS,344
OREGON,334
SYLVANIA,298
HOLLAND,275
MOTT,267
WASHINGTON,259
LAGRANGE,257
Technical Services,250
LOCKE,248
KENT,222
WATERVILLE,221
Local History,217
Fact and Fiction,199
Computers and Media,192
TOLEDO HEIGHTS,187
HEATHERDOWNS,187
BIRMINGHAM,174
MAUMEE,169
POINT PLACE,151
Teen / Making Space,142
Children's Library,137
Main Circulation,136
SOUTH,110
Marketing,99
MOBILE SERVICES,79
Director's Office,72
Children's Library/Teen Library-Metro,63
Human Resources,62
Humanities,53
Youth Services,52
Development Office,41
OUTREACH,39
Public Services,38
Cherry Street Mission,36
Facilities & Operations,35
Business Technology,33
Finance,28
Business and Workforce Development,28
Main Library Manager,27
Popular Library,25
Branch Services,23
Audio/Visual,23
Security,22
Information Technology,20
Adult Services,18
Friends of the Library,13
Read for Literacy,9
Classics Gift Shop,3
Institutional & Community Initiatives,2
Virtual Services,1
External and Governmental Affairs,1
